3	54	50	100
0	82	76	
1	96	44	
2	50	5	
3	49	8	
4	13	7	19
5	29	89	7
6	58	30	-12
7	84	39	16
8	14	24	6
9	2	39	16
10	3	82	8
11	5	10	14
12	98	52	21
13	84	25	-16
14	61	59	3
15	1	65	22
16	88	51	18
17	91	2	-19
18	19	32	1
19	93	3	24
20	50	93	8
21	98	14	-12
22	5	42	4
23	42	9	8
24	61	62	24
25	9	97	24
26	80	55	2
27	57	69	20
28	23	15	15
29	20	70	2
30	85	60	14
31	98	5	9
32	12	77	21
33	27	84	-35
34	5	89	8
35	5	27	15
36	75	12	-10
37	2	43	-28
38	39	42	-7
39	39	37	-36
40	46	31	-2
41	2	18	1
42	83	81	-25
43	81	19	-16
44	60	29	5
45	57	21	-12
46	78	45	-5
47	100	23	35
48	83	75	7
49	8	65	-27
50	36	33	49
51	73	17	-30
52	47	47	48
53	96	95	6
54	36	64	22
55	71	89	-36
56	26	6	-34
57	71	41	-22
